ProductID,BusinessID,TypeID,name,unitprice,introduction,inventory,image
000000000020,00000002,hi1234567890,深海鳕鱼堡,19,赞,400,"<a href=""https://sm.ms/image/kTWSnbKzOQRc7sl"" target=""_blank""><img src=""https://s2.loli.net/2021/12/07/kTWSnbKzOQRc7sl.png"" ></a>"
000000000021,00000003,hi1234567890,深海鳕鱼堡,19,赞,17,"<a href=""https://sm.ms/image/kTWSnbKzOQRc7sl"" target=""_blank""><img src=""https://s2.loli.net/2021/12/07/kTWSnbKzOQRc7sl.png"" ></a>"
000000000022,00000004,hi1234567890,深海鳕鱼堡,17,赞,29,"<a href=""https://sm.ms/image/kTWSnbKzOQRc7sl"" target=""_blank""><img src=""https://s2.loli.net/2021/12/07/kTWSnbKzOQRc7sl.png"" ></a>"
000000000023,00000007,hi1234567890,深海鳕鱼堡,18.5,赞,8,"<a href=""https://sm.ms/image/kTWSnbKzOQRc7sl"" target=""_blank""><img src=""https://s2.loli.net/2021/12/07/kTWSnbKzOQRc7sl.png"" ></a>"
000000000024,00000010,hi1234567890,深海鳕鱼堡,19.9,赞,17,"<a href=""https://sm.ms/image/kTWSnbKzOQRc7sl"" target=""_blank""><img src=""https://s2.loli.net/2021/12/07/kTWSnbKzOQRc7sl.png"" ></a>"
000000000025,00000001,hi1234567890,海霸棒,11,赞,20,"<a href=""https://sm.ms/image/6EqUk7FCPu4jr3K"" target=""_blank""><img src=""https://s2.loli.net/2021/12/07/6EqUk7FCPu4jr3K.png"" ></a>"
000000000026,00000002,hi1234567890,海霸棒,12,赞,19,"<a href=""https://sm.ms/image/6EqUk7FCPu4jr3K"" target=""_blank""><img src=""https://s2.loli.net/2021/12/07/6EqUk7FCPu4jr3K.png"" ></a>"
000000000027,00000003,hi1234567890,海霸棒,10,赞,1,"<a href=""https://sm.ms/image/6EqUk7FCPu4jr3K"" target=""_blank""><img src=""https://s2.loli.net/2021/12/07/6EqUk7FCPu4jr3K.png"" ></a>"
000000000028,00000004,hi1234567890,海霸棒,13,赞,4,"<a href=""https://sm.ms/image/6EqUk7FCPu4jr3K"" target=""_blank""><img src=""https://s2.loli.net/2021/12/07/6EqUk7FCPu4jr3K.png"" ></a>"
000000000029,00000007,hi1234567890,海霸棒,10,赞,5,"<a href=""https://sm.ms/image/6EqUk7FCPu4jr3K"" target=""_blank""><img src=""https://s2.loli.net/2021/12/07/6EqUk7FCPu4jr3K.png"" ></a>"
000000000030,00000010,hi1234567890,海霸棒,10,赞,0,"<a href=""https://sm.ms/image/6EqUk7FCPu4jr3K"" target=""_blank""><img src=""https://s2.loli.net/2021/12/07/6EqUk7FCPu4jr3K.png"" ></a>"
000000000031,00000005,uh1234567890,北冰洋,3,甜,2,"<a href=""https://sm.ms/image/5cuXCsySthwqfHR"" target=""_blank""><img src=""https://s2.loli.net/2021/12/07/5cuXCsySthwqfHR.png"" ></a>"
000000000032,00000006,uh1234567890,北冰洋,4,甜,5,"<a href=""https://sm.ms/image/5cuXCsySthwqfHR"" target=""_blank""><img src=""https://s2.loli.net/2021/12/07/5cuXCsySthwqfHR.png"" ></a>"
000000000033,00000008,uh1234567890,北冰洋,3,甜,3,"<a href=""https://sm.ms/image/5cuXCsySthwqfHR"" target=""_blank""><img src=""https://s2.loli.net/2021/12/07/5cuXCsySthwqfHR.png"" ></a>"
000000000034,00000009,uh1234567890,北冰洋,3.5,甜,3,"<a href=""https://sm.ms/image/5cuXCsySthwqfHR"" target=""_blank""><img src=""https://s2.loli.net/2021/12/07/5cuXCsySthwqfHR.png"" ></a>"
000000000035,00000011,uh1234567890,北冰洋,4,甜,7,"<a href=""https://sm.ms/image/5cuXCsySthwqfHR"" target=""_blank""><img src=""https://s2.loli.net/2021/12/07/5cuXCsySthwqfHR.png"" ></a>"
000000000036,00000012,uh1234567890,北冰洋,3,甜,0,"<a href=""https://sm.ms/image/5cuXCsySthwqfHR"" target=""_blank""><img src=""https://s2.loli.net/2021/12/07/5cuXCsySthwqfHR.png"" ></a>"
000000000037,00000013,uh1234567890,北冰洋,5,甜,1,"<a href=""https://sm.ms/image/5cuXCsySthwqfHR"" target=""_blank""><img src=""https://s2.loli.net/2021/12/07/5cuXCsySthwqfHR.png"" ></a>"
000000000038,00000014,uh1234567890,北冰洋,4,甜,2,"<a href=""https://sm.ms/image/5cuXCsySthwqfHR"" target=""_blank""><img src=""https://s2.loli.net/2021/12/07/5cuXCsySthwqfHR.png"" ></a>"
000000000039,00000015,uh1234567890,北冰洋,3,甜,3,"<a href=""https://sm.ms/image/5cuXCsySthwqfHR"" target=""_blank""><img src=""https://s2.loli.net/2021/12/07/5cuXCsySthwqfHR.png"" ></a>"
000000000040,00000005,uh1234567890,冰红茶,3,好喝,4,"<a href=""https://sm.ms/image/wo7VHc6nT5Rb8tC"" target=""_blank""><img src=""https://s2.loli.net/2021/12/07/wo7VHc6nT5Rb8tC.png"" ></a>"
000000000041,00000006,uh1234567890,冰红茶,2.5,好喝,1,"<a href=""https://sm.ms/image/wo7VHc6nT5Rb8tC"" target=""_blank""><img src=""https://s2.loli.net/2021/12/07/wo7VHc6nT5Rb8tC.png"" ></a>"
000000000042,00000008,uh1234567890,冰红茶,3,好喝,0,"<a href=""https://sm.ms/image/wo7VHc6nT5Rb8tC"" target=""_blank""><img src=""https://s2.loli.net/2021/12/07/wo7VHc6nT5Rb8tC.png"" ></a>"
000000000043,00000009,uh1234567890,冰红茶,2,好喝,1,"<a href=""https://sm.ms/image/wo7VHc6nT5Rb8tC"" target=""_blank""><img src=""https://s2.loli.net/2021/12/07/wo7VHc6nT5Rb8tC.png"" ></a>"
000000000044,00000011,uh1234567890,冰红茶,3,好喝,7,"<a href=""https://sm.ms/image/wo7VHc6nT5Rb8tC"" target=""_blank""><img src=""https://s2.loli.net/2021/12/07/wo7VHc6nT5Rb8tC.png"" ></a>"
000000000045,00000012,uh1234567890,冰红茶,3.5,好喝,8,"<a href=""https://sm.ms/image/wo7VHc6nT5Rb8tC"" target=""_blank""><img src=""https://s2.loli.net/2021/12/07/wo7VHc6nT5Rb8tC.png"" ></a>"
000000000046,00000013,uh1234567890,冰红茶,2,好喝,9,"<a href=""https://sm.ms/image/wo7VHc6nT5Rb8tC"" target=""_blank""><img src=""https://s2.loli.net/2021/12/07/wo7VHc6nT5Rb8tC.png"" ></a>"
000000000047,00000014,uh1234567890,冰红茶,2,好喝,9,"<a href=""https://sm.ms/image/wo7VHc6nT5Rb8tC"" target=""_blank""><img src=""https://s2.loli.net/2021/12/07/wo7VHc6nT5Rb8tC.png"" ></a>"
000000000048,00000015,uh1234567890,冰红茶,2,好喝,0,"<a href=""https://sm.ms/image/wo7VHc6nT5Rb8tC"" target=""_blank""><img src=""https://s2.loli.net/2021/12/07/wo7VHc6nT5Rb8tC.png"" ></a>"
000000000049,00000005,jh1234567890,麻辣抄手,15,辣,0,"<a href=""https://sm.ms/image/TABPhwybSEez3fc"" target=""_blank""><img src=""https://s2.loli.net/2021/12/07/TABPhwybSEez3fc.png"" ></a>"
000000000050,00000006,jh1234567890,麻辣抄手,15,辣,1,"<a href=""https://sm.ms/image/TABPhwybSEez3fc"" target=""_blank""><img src=""https://s2.loli.net/2021/12/07/TABPhwybSEez3fc.png"" ></a>"
000000000051,00000008,jh1234567890,麻辣抄手,14,辣,2,"<a href=""https://sm.ms/image/TABPhwybSEez3fc"" target=""_blank""><img src=""https://s2.loli.net/2021/12/07/TABPhwybSEez3fc.png"" ></a>"
000000000052,00000009,jh1234567890,麻辣抄手,16,辣,4,"<a href=""https://sm.ms/image/TABPhwybSEez3fc"" target=""_blank""><img src=""https://s2.loli.net/2021/12/07/TABPhwybSEez3fc.png"" ></a>"
000000000053,00000011,jh1234567890,麻辣抄手,16,辣,3,"<a href=""https://sm.ms/image/TABPhwybSEez3fc"" target=""_blank""><img src=""https://s2.loli.net/2021/12/07/TABPhwybSEez3fc.png"" ></a>"
000000000054,00000012,jh1234567890,麻辣抄手,15,辣,0,"<a href=""https://sm.ms/image/TABPhwybSEez3fc"" target=""_blank""><img src=""https://s2.loli.net/2021/12/07/TABPhwybSEez3fc.png"" ></a>"
000000000055,00000013,jh1234567890,麻辣抄手,17,辣,3,"<a href=""https://sm.ms/image/TABPhwybSEez3fc"" target=""_blank""><img src=""https://s2.loli.net/2021/12/07/TABPhwybSEez3fc.png"" ></a>"
000000000056,00000014,jh1234567890,麻辣抄手,16,辣,7,"<a href=""https://sm.ms/image/TABPhwybSEez3fc"" target=""_blank""><img src=""https://s2.loli.net/2021/12/07/TABPhwybSEez3fc.png"" ></a>"
000000000057,00000015,jh1234567890,麻辣抄手,15,辣,8,"<a href=""https://sm.ms/image/TABPhwybSEez3fc"" target=""_blank""><img src=""https://s2.loli.net/2021/12/07/TABPhwybSEez3fc.png"" ></a>"
000000000058,00000005,jh1234567890,清汤抄手,14,鲜,7,"<a href=""https://sm.ms/image/BNTdnRO6ars9CxD"" target=""_blank""><img src=""https://s2.loli.net/2021/12/07/BNTdnRO6ars9CxD.png"" ></a>"
000000000059,00000006,jh1234567890,清汤抄手,14,鲜,10,"<a href=""https://sm.ms/image/BNTdnRO6ars9CxD"" target=""_blank""><img src=""https://s2.loli.net/2021/12/07/BNTdnRO6ars9CxD.png"" ></a>"
000000000060,00000008,jh1234567890,清汤抄手,13,鲜,0,"<a href=""https://sm.ms/image/BNTdnRO6ars9CxD"" target=""_blank""><img src=""https://s2.loli.net/2021/12/07/BNTdnRO6ars9CxD.png"" ></a>"
000000000061,00000009,jh1234567890,清汤抄手,15,鲜,0,"<a href=""https://sm.ms/image/BNTdnRO6ars9CxD"" target=""_blank""><img src=""https://s2.loli.net/2021/12/07/BNTdnRO6ars9CxD.png"" ></a>"
000000000062,00000011,jh1234567890,清汤抄手,15,鲜,1,"<a href=""https://sm.ms/image/BNTdnRO6ars9CxD"" target=""_blank""><img src=""https://s2.loli.net/2021/12/07/BNTdnRO6ars9CxD.png"" ></a>"
000000000063,00000012,jh1234567890,清汤抄手,14,鲜,3,"<a href=""https://sm.ms/image/BNTdnRO6ars9CxD"" target=""_blank""><img src=""https://s2.loli.net/2021/12/07/BNTdnRO6ars9CxD.png"" ></a>"
000000000064,00000013,jh1234567890,清汤抄手,16,鲜,4,"<a href=""https://sm.ms/image/BNTdnRO6ars9CxD"" target=""_blank""><img src=""https://s2.loli.net/2021/12/07/BNTdnRO6ars9CxD.png"" ></a>"
000000000065,00000014,jh1234567890,清汤抄手,15,鲜,5,"<a href=""https://sm.ms/image/BNTdnRO6ars9CxD"" target=""_blank""><img src=""https://s2.loli.net/2021/12/07/BNTdnRO6ars9CxD.png"" ></a>"
000000000066,00000015,jh1234567890,清汤抄手,14,鲜,0,"<a href=""https://sm.ms/image/BNTdnRO6ars9CxD"" target=""_blank""><img src=""https://s2.loli.net/2021/12/07/BNTdnRO6ars9CxD.png"" ></a>"
000000000067,00000005,jh1234567890,肉火烧,10,嫰,5,"<a href=""https://sm.ms/image/B72KG3jOfNxpv4n"" target=""_blank""><img src=""https://s2.loli.net/2021/12/07/B72KG3jOfNxpv4n.png"" ></a>"
000000000068,00000006,jh1234567890,肉火烧,11,嫰,7,"<a href=""https://sm.ms/image/B72KG3jOfNxpv4n"" target=""_blank""><img src=""https://s2.loli.net/2021/12/07/B72KG3jOfNxpv4n.png"" ></a>"
000000000069,00000008,jh1234567890,肉火烧,13,嫰,6,"<a href=""https://sm.ms/image/B72KG3jOfNxpv4n"" target=""_blank""><img src=""https://s2.loli.net/2021/12/07/B72KG3jOfNxpv4n.png"" ></a>"
000000000070,00000009,jh1234567890,肉火烧,12,嫰,9,"<a href=""https://sm.ms/image/B72KG3jOfNxpv4n"" target=""_blank""><img src=""https://s2.loli.net/2021/12/07/B72KG3jOfNxpv4n.png"" ></a>"
000000000071,00000011,jh1234567890,肉火烧,11,嫰,8,"<a href=""https://sm.ms/image/B72KG3jOfNxpv4n"" target=""_blank""><img src=""https://s2.loli.net/2021/12/07/B72KG3jOfNxpv4n.png"" ></a>"
000000000072,00000012,jh1234567890,肉火烧,13,嫰,0,"<a href=""https://sm.ms/image/B72KG3jOfNxpv4n"" target=""_blank""><img src=""https://s2.loli.net/2021/12/07/B72KG3jOfNxpv4n.png"" ></a>"
000000000073,00000013,jh1234567890,肉火烧,12,嫰,22,"<a href=""https://sm.ms/image/B72KG3jOfNxpv4n"" target=""_blank""><img src=""https://s2.loli.net/2021/12/07/B72KG3jOfNxpv4n.png"" ></a>"
000000000074,00000014,jh1234567890,肉火烧,12,嫰,12,"<a href=""https://sm.ms/image/B72KG3jOfNxpv4n"" target=""_blank""><img src=""https://s2.loli.net/2021/12/07/B72KG3jOfNxpv4n.png"" ></a>"
000000000075,00000015,jh1234567890,肉火烧,10,嫰,54,"<a href=""https://sm.ms/image/B72KG3jOfNxpv4n"" target=""_blank""><img src=""https://s2.loli.net/2021/12/07/B72KG3jOfNxpv4n.png"" ></a>"
