DetailID,OrderID,ProductID,unitprice,quantity
jb8zXyR0Bruj,9BUkDEQcedAA,000000000006,20,1
jgVgtJ2Vt3nI,b4TfY5hL1IMT,000000000050,15,1
JH5xuDLzIqlN,n5vebn2Ey43n,000000000014,20,1
jiLhQOvT6cLs,KHxtZIzzCZ4U,000000000019,18,1
jprqBlaSdM2k,bi3zZpDJAeQW,000000000051,14,1
JxOmPpJZHZkZ,BY4ihXn0mxzs,000000000055,17,3
JzHcxFw60Vcg,16G4TyIBhq2I,000000000001,18,1
k3VlUZCUkBFh,do8MArNQnOC5,000000000031,3,1
kfcF0TmuT2g8,UkFMLngPzsMO,000000000009,17,5
kKzhtxMkxNXE,MUjXA7Xj5TIC,000000000017,19,1
KLcgwWy2rWGj,CLpuJrGH7Ha7,000000000008,15,12
L5RZso9x1Bry,pX9p33mcB26X,000000000003,17,2
lM4tuk312PxT,wcnyMm9VgRfD,000000000043,2,1
lnylr6BBzDkY,TLLte4aX6XVi,000000000019,18,1
LQLOBegtw4md,8KDu8Fj3I7cp,000000000014,20,1
lyVW491DZGi4,LBd57hs4OpXZ,000000000061,15,1
MfGyJYHc8Zbt,G8ZmzBmKcvc5,000000000041,2.5,2
mFj4qIDqOybl,iLEsbJ564UjM,000000000008,15,1
mRMMvaViLosb,aGRojVdhACes,000000000002,19,1
MU0sfQXhAz6P,uptBuRFMp8fy,000000000004,19,1
mzmdf3Il22uU,Kw60Rf8MF13H,000000000011,16,1
N6IbtQGMHQ3D,iNOCXD4sSJCR,000000000004,19,2
NN9NlNLCQ635,tfNuC0xEmsuE,000000000003,17,33
nnaimxn3ublK,13obmGMcCBGv,000000000012,18,1
NPds7FIzmxbm,nbIBBJjJhDC7,000000000069,13,2
nZemERmbV2N5,GdPMmzWC5JOl,000000000004,19,2
OsivIu300llO,JuK9Wkj815Sr,000000000047,2,1
OWY0suPuyiKU,I2xNdM6vqlEh,000000000002,19,1
Oz4acPhxm4wU,TQJJBhT5AAFV,000000000018,17,2
ozfWnwaG8QqL,vlOGgzdWgofP,000000000002,19,1
PfSSIrHfSTnV,3ZMMnkjjbVbL,000000000004,19,2
Piz9IaJ0yMzM,8oSU9JIyAvnF,000000000001,18,1
PKnpJEy87Jna,jqcLzv7DpOka,000000000067,10,1
POZdZA0yGtFL,jZZhOoS33aOo,000000000003,17,1
pXmmj43SKtiO,lWa1WtbqCfn7,000000000001,18,1
q01lH3WvoIJS,WTqTxtK3JN21,000000000008,15,5
Q1svLAwGC3v2,mPNuLlLFJzl5,000000000019,18,1
QjLDuPCWALoD,eomqZMA0jpim,000000000020,19,1
QXuxsp1dnnU3,UV75UWoArQff,000000000043,2,2
qZSvJjolENEB,QapQo9IMTUoJ,000000000001,18,1
r4BQVMxD9UtK,PKcct8li9Ku6,000000000012,18,12
r4DGKnkO5Pq1,j0srqgmroSsO,000000000004,19,1
ReEVxFe0NPN6,aPqkaIIEv05t,000000000020,19,1
rFnvuRNsVqMI,WZQ4nU6OOhqV,000000000001,18,5
RKEeqL1ezMei,T1AdKZgoapPC,000000000008,15,2
RORHnIYehkLD,TLLte4aX6XVi,000000000001,18,1
sFl0GdxnFnVK,aAeJZtYjJ2wy,000000000002,19,1
SHlDb6e60FwU,fAn8jH2LY8Gg,000000000022,17,1
sM1Rmp6AgrgR,zSjQxM0gcl3t,000000000014,20,2
ssNpcL1ZQj1a,kLJIoyZvV1JZ,000000000001,18,1
sucjp7fuLieO,v1XFbAh791EV,000000000031,3,2
t0qIKyELjbrt,S5QHjjCCuRvo,000000000024,19.9,2
TBy4hvKkuvZ8,10RL75AVcMQX,000000000033,3,5
TNiFUPvJCChw,2KFou5dRji6o,000000000001,18,2
tRCxdGycXtxM,zDsb6tk1uPmx,000000000001,18,1
TSvToWZJBBRf,16G4TyIBhq2I,000000000019,18,1
tzqXH4YowLmb,2ePrdZLGRMNH,000000000001,18,23
uaVknlYgUldq,dJoEffYFLbB0,000000000009,17,5
uCWLKbhjNKEW,fAn8jH2LY8Gg,000000000016,19,12
ugJJ2zGqSMfs,ERP4pZXEOkj4,000000000016,19,1
ugS2adbpCnCU,C6CY7t3QDGNf,000000000001,18,3
uI46XfI7v2mS,dJoEffYFLbB0,000000000021,19,23
uKewMS4Bonvt,9BUkDEQcedAA,000000000012,18,1
UQLghRYA0Fyw,4MQptthMKciM,000000000001,18,1
V8Wn45AQlJ2k,gXq2WPOvhxMq,000000000035,4,3
vztc7QDd3gaY,YBBWtSk4cuaW,000000000013,20,1
vZXFSGyeeoJz,OFKelT9bEwki,000000000004,19,1
whoImGeLCN6x,PNNojympgngM,000000000012,18,5
wrJYNc9AsbGR,1BEpXop34vKw,000000000001,18,2
WWJhCvSy5QN9,gYChKeigKhiC,000000000015,18,2
WyZOEySR1BPi,fyQDFJXDxsVX,000000000002,19,1
wZo5aJChcSI2,NBF67Zi30wEu,000000000034,3.5,2
X1XuUEJvODSl,luG48zbL47KC,000000000009,17,3
x5tCYttVVXms,a7hQdgqZxsxC,000000000001,18,3
XLBpGUc0gq1X,4hhcu2pbvSlm,000000000020,19,1
xTgoZZF1dsKi,gMkRZT4mxzxx,000000000001,18,1
xusYkp0jbTV3,YKxTCDyz782S,000000000001,18,1
Y5Rs4qOG77D3,kLJIoyZvV1JZ,000000000019,18,1
y6U2INdYqwTo,NJ98xrg7MfNo,000000000001,18,1
ygnttdTyOTO0,skqLs4dhJtHJ,000000000007,16,2
Yoqco2k4l5B3,LOOqS1u3yian,000000000018,17,1
YsiwCMkA6klB,0FIJEHYsWVHk,000000000005,17,2
Z7q0Ia59CJh4,8c4gcTKSG6XU,000000000006,20,1
ZGGBtnUbxo7D,MxqW0qfVer98,000000000004,19,2
ZI7BWnbE5FmD,skqLs4dhJtHJ,000000000019,18,1
ZM0AgVp0K0gT,WmUOWCE6tyS1,000000000062,15,1
ZsJGPpKfpFnZ,2ihMCPj50ZHa,000000000001,18,1
ZwEHisLsY9gf,bgukuT2ziFUh,000000000026,12,1
ZXUvTj6KSa4U,MuWUP0XQBoco,000000000019,18,1
ZzmJf0GUhX4q,WT0YJLB0pA8d,000000000004,19,2
