CommentID,DetailID,comment,date,rate
JX7FK0V5BOV1,uaVknlYgUldq,好爱好爱你,2021-12-29,5
LDUJ8HS74L88,alfifEFZWSMk,回家就要吃这个,2021-12-29,5
NKBG266M5140,xusYkp0jbTV3,痞老板偷走的配方味道不正宗,2021-12-29,3
NM47Q7WPKCH9,BIaEP5WSOjaJ,早知道换换口味,2021-12-29,3
NOCL574IZH1O,ZwEHisLsY9gf,评论写的我大半夜贼饿,2021-12-29,4
NVR6ZTXGGOIH,ZzmJf0GUhX4q,鬼知道我写了多少评论,2021-12-29,5
O6U27SP72I4Z,dvkcwSRQEeYe,每天都要吃一吃,2021-12-29,5
OHHHVNJNLG5H,dvkcwSRQEeYe,排队好久好烦,2021-12-29,3
OKQVSRUO100F,2j4viYxSNyF8,还可以吧,2021-12-23,1
P2GUFL4MV8R1,ZGGBtnUbxo7D,又回到最初的起点记忆中你青涩的脸,2021-12-29,3
PCJ7HCI8RN8Q,dvkcwSRQEeYe,发现宝藏店铺,2021-12-29,4
Q15TGLHZKHD5,mzmdf3Il22uU,奥尔良奥尔良是我的菜,2021-12-29,5
Q39Z4VL4WICV,CsV5Ob4Pm0Xi,不吃就想,2021-12-29,4
Q4ZZ7CZ5REMK,7q4kqAFwGOaZ,每天都有吃一个,2021-12-29,5
QJTTDA666F4T,9TbteSan495M,大鸡翅真爽,2021-12-29,5
QW7ZW6Y6E2SA,BSJtzNVKSATE,pparty必点美味,2021-12-29,5
QXQ0QMGEVY3K,dvkcwSRQEeYe,笑死，我怎么每天都在吃蟹黄包,2021-12-29,5
R3KUQC1555IS,lyVW491DZGi4,清汤寡水的，无聊,2021-12-29,3
RCK0NZR4W53N,4dpxyCuNQrFP,皮老板是我好哥们666,2021-12-29,5
RDM8YSZHUQKT,0jKqH5topszq,俺今天要大吃一顿,2021-12-30,4
RO86DXXD67I9,jgVgtJ2Vt3nI,忍不住高点辣的吃吃,2021-12-29,5
RR2RT1RVUG8G,q01lH3WvoIJS,不喜欢不要来,2021-12-29,5
RTN4M4Q5YZXO,dvkcwSRQEeYe,虽然写评论不是我想要的，但味道确实不错,2021-12-29,4
T5DO01NI23C3,1io0uwrUdfRk,不好吃不好吃,2021-12-29,1
TCPU5TTJZPUB,sM1Rmp6AgrgR,给谢老板个面子尝尝,2021-12-29,2
THJMJBEVMLHI,dvkcwSRQEeYe,我像只鱼儿在你的荷塘,2021-12-29,4
TPW0CIALOPD9,2j4viYxSNyF8,不好吃,2021-12-27,2
TWFW459831IH,WyZOEySR1BPi,nice~~,2021-12-29,5
U3FZC5CDXP3J,3H0DdlffAEve,这个键盘打字有点爽,2021-12-29,4
U415OK3NTTTS,dvkcwSRQEeYe,不同的心情不同的口味,2021-12-29,4
U43Z1SBVJPZ8,GYC4sIEtg00L,辣妹子辣辣辣辣喜欢,2021-12-29,5
UE2B6O4SNC7A,dvkcwSRQEeYe,童年的味道,2021-12-29,4
UFRW1VB6JCM9,NPds7FIzmxbm,有肉才有力量,2021-12-29,5
UQ1AQBS8LJ5V,2j4viYxSNyF8,咱也不知道这是啥反正就吃了,2021-12-29,4
V9BGOX7KEH6T,ZM0AgVp0K0gT,好清淡的味道,2021-12-29,3
VYIAZ59GDSNL,7q4kqAFwGOaZ,我喜欢是我的事,2021-12-29,5
W0MSZYD82HJM,74ZBld71MTN9,鱼的味道好咸,2021-12-29,3
W4YPR2VVW55R,0kbxXeohbjO3,今天也是犒劳自己的一天,2021-12-29,5
WL921FO90ZPQ,tzqXH4YowLmb,问就是商家的水军,2021-12-29,5
XJIS4LUMCR26,dvkcwSRQEeYe,别问我为什么,2021-12-29,5
Z2TSMXKLBBGA,KLcgwWy2rWGj,奥尔良香香,2021-12-29,4
